FP_type,split_type,type,num_of_compounds,precision,se,sp,acc,mcc,auc_prc,auc_roc,seed
MACCS,random,tr,1025,0.9573934837092731,0.9744897959183674,0.9601873536299765,0.967032967032967,0.9341303948074665,0.9895936689088887,0.9911789657314917,0
MACCS,random,va,1025,0.9148936170212766,0.8775510204081632,0.9259259259259259,0.9029126213592233,0.8056110190074063,0.9526210238662969,0.9646636432350717,0
MACCS,random,te,1025,0.9090909090909091,0.8333333333333334,0.9272727272727272,0.883495145631068,0.7670247909484376,0.9568635382326446,0.9481060606060606,0
MACCS,random,tr,1025,0.9620253164556962,0.979381443298969,0.9651972157772621,0.9719169719169719,0.9438677579855207,0.9912852848910049,0.9934550434137823,1
MACCS,random,va,1025,0.8297872340425532,0.8666666666666667,0.8620689655172413,0.8640776699029126,0.7256836134598503,0.9203225016254923,0.9409961685823756,1
MACCS,random,te,1025,0.9433962264150944,0.8928571428571429,0.9361702127659575,0.912621359223301,0.826206993564533,0.9659057801776026,0.9475683890577508,1
MACCS,random,tr,1025,0.9744245524296675,0.9769230769230769,0.9766899766899767,0.9768009768009768,0.9535047781828504,0.9931407330792614,0.9946685792839639,2
MACCS,random,va,1025,0.8958333333333334,0.8958333333333334,0.9090909090909091,0.9029126213592233,0.8049242424242419,0.9085881354165182,0.9333333333333333,2
MACCS,random,te,1025,0.8125,0.7647058823529411,0.8269230769230769,0.7961165048543689,0.5929720460425649,0.9069210686522232,0.9030920060331824,2
MACCS,random,tr,1025,0.9353233830845771,0.9868766404199475,0.9406392694063926,0.9621489621489622,0.9254220792485622,0.9901428328817798,0.9922757942928367,3
MACCS,random,va,1025,0.8421052631578947,0.9230769230769231,0.8235294117647058,0.8737864077669902,0.7508653901272397,0.9508937917606546,0.9424962292609351,3
MACCS,random,te,1025,0.8448275862068966,0.875,0.8085106382978723,0.8446601941747572,0.686385289492256,0.9382195942043237,0.9213525835866261,3
MACCS,random,tr,1025,0.9628712871287128,0.9798488664987406,0.9644549763033176,0.9719169719169719,0.9439489440575266,0.9910042435738782,0.9917568971074529,4
MACCS,random,va,1025,0.8125,0.8666666666666667,0.8448275862068966,0.8543689320388349,0.7074401215656595,0.883222346281802,0.9203065134099616,4
MACCS,random,te,1025,0.7454545454545455,0.8723404255319149,0.75,0.8058252427184466,0.621396770060315,0.8936659216655988,0.9194528875379938,4
MACCS,random,tr,1025,0.9502487562189055,0.9769820971867008,0.9532710280373832,0.9645909645909646,0.929459235056901,0.9905770924004691,0.9929667519181585,5
MACCS,random,va,1025,0.7931034482758621,0.8679245283018868,0.76,0.8155339805825242,0.6327179148769694,0.8985507181747878,0.8988679245283018,5
MACCS,random,te,1025,0.84,0.9333333333333333,0.8620689655172413,0.8932038834951457,0.7893764370700651,0.8383751032716422,0.9262452107279694,5
MACCS,random,tr,1025,0.9583333333333334,0.9799498746867168,0.9595238095238096,0.9694749694749695,0.9391710999466651,0.994137773966844,0.9946085451724549,6
MACCS,random,va,1025,0.8518518518518519,0.92,0.8490566037735849,0.883495145631068,0.769637681758846,0.9466106874210702,0.9535849056603773,6
MACCS,random,te,1025,0.85,0.85,0.9047619047619048,0.883495145631068,0.7547619047619042,0.8622214162188365,0.9240079365079366,6
MACCS,random,tr,1025,0.9577114427860697,0.9821428571428571,0.9601873536299765,0.9706959706959707,0.941627279231738,0.9903922533043527,0.9920034172919754,7
MACCS,random,va,1025,0.8490566037735849,0.8490566037735849,0.84,0.8446601941747572,0.6890566037735845,0.9261844962551503,0.9267924528301887,7
MACCS,random,te,1025,0.8478260869565217,0.8863636363636364,0.8813559322033898,0.883495145631068,0.7639036954315674,0.9169691613243096,0.9520416024653313,7
MACCS,random,tr,1025,0.9543147208121827,0.9766233766233766,0.9585253456221198,0.967032967032967,0.9341429453650671,0.9942899799162084,0.9950864803399365,8
MACCS,random,va,1025,0.8392857142857143,0.9038461538461539,0.8235294117647058,0.8640776699029126,0.7301339204675953,0.8791500005851587,0.9106334841628958,8
MACCS,random,te,1025,0.9038461538461539,0.9038461538461539,0.9019607843137255,0.9029126213592233,0.8058069381598788,0.9576322753812738,0.9551282051282051,8
MACCS,random,tr,1025,0.948019801980198,0.9922279792746114,0.952054794520548,0.970873786407767,0.9425783210274462,0.9918429613797457,0.9936090803700287,9
MACCS,random,va,1025,0.8846153846153846,0.8679245283018868,0.88,0.8737864077669902,0.74764245228646,0.9465486663036893,0.9286792452830188,9
MACCS,random,te,1025,0.8113207547169812,0.86,0.7916666666666666,0.826530612244898,0.6537127208900927,0.9396460173379046,0.9277083333333332,9
